abeyance	waiting
boulevard's	road's
boulevards	roads
calculate	figure
capable	able
catalog	list
catalogs	lists
catalogue	list
catalogues	lists
categories	groups
categorisation	grouping
categorise	group
categorised	grouped
categorises	groups
categorising	grouping
categorization	grouping
categorize	group
categorized	grouped
categorizes	groups
categorizing	grouping
category	group
cease	stop
certainly	surely
cessation	stop
cessations	stops
circumspect	careful
colossal	large
combine	join
combined	joined
combines	joins
combining	joining
commence	start
commenced	started
commencement	start
commencements	starts
commences	starts
commencing	starting
communicate	tell
companion	friend
companion's	friend's
companions	friends
compensate	pay
compensated	paid
compensates	pays
compensating	paying
compensation	pay
competent	able
complied	followed
complies	follows
comply	follow
complying	following
component	part
component's	part's
components	parts
conceal	hide
concealment	hiding
concept	idea
conception	thought
concerning	about
conclude	close
concluded	closed
concludes	closes
concluding	closing
conclusion	close
conclusive	final
confront	meet
confrontation	meeting
confrontation's	meeting's
confrontations	meetings
confronted	face
confronting	meeting
confronts	faces
conjecture	guess
conjectured	guessed
conjectures	guesses
conjecturing	guessing
consequently	so
considerable	much
consolidate	join
consolidated	joined
consolidates	joins
consolidating	joining
constantly	always
constitute	be
constituted	was
construct	build
constructing	building
construction	building
constructs	builds
contain	have
contained	had
containing	holding
contains	has
contemptible	mean
contiguous	touching
continue	keep
contort	bend
contorted	bent
contorting	bending
contorts	bends
contraption	machine
contraption's	machine's
contraptions	machines
contribute	give
contributed	gave
contributes	gives
contributing	helping
contribution	gift
contribution's	gift's
contributions	gifts
convene	meet
conversation	talk
conversations	talks
conversion	change
conversions	changes
cooperate	help
cooperated	helped
cooperates	helps
cooperating	helping
copious	plenty
corpulent	fat
corrugate	bend
corrugated	bent
corrugates	bends
corrugating	bending
create	make
created	made
creates	makes
creating	making
culinarian	cook
culinarians	cooks
cultivate	grow
cultivated	grew
cultivates	grows
cultivating	growing
currently	now
customary	usual
damsel	girl
damsel's	girl's
damsels	girls
deem	think
deemed	thought
deeming	thinking
deems	thinks
definitive	final
delectable	pleasing
delete	cut
deleted	cut
deletes	cuts
deleting	cutting
deletion	cut
deletions	cuts
demonstrate	show
demonstrated	showed
demonstrates	shows
demonstrating	showing
dense	thick
depart	leave
departed	left
departing	leaving
departs	leaves
deplete	empty
designate	name
desire	wish
desired	wished
desires	wishes
desiring	wishing
desist	stop
detain	hold
determine	decide
determined	decided
determines	decides
determining	deciding
detest	hate
detested	hated
detesting	hating
detests	hates
develop	make
developed	made
developing	making
develops	makes
deviation	change
deviations	changes
dichotomies	groups
dichotomy	group
dichotomy's	group's
difficult	hard
disclose	show
discloses	shows
disclosing	showing
discontinuance	dropping
discontinuances	stops
discontinuation	dropping
discontinuations	stop
discontinue	stop
discontinued	dropped
discontinues	drops
discontinuing	dropping
dispatch	send
dispatched	sent
dispatches	sends
dispatching	sending
disseminate	give
dissimilar	different
dissipate	waste
dissipated	wasted
dissipates	wastes
dissipating	wasting
divulge	tell
divulged	told
divulges	tells
divulging	telling
domicile	home
domiciles	homes
donate	give
dormant	asleep
duration	time
edifice	building
educator	teacher
educator's	teacher's
educators	teachers
effected	made
effecting	making
elapse	pass
elect	pick
elected	picked
electing	picking
elects	picks
elevate	raise
elevates	raises
elevating	raising
eliminate	cut
eliminated	cut
eliminates	cuts
eliminating	cutting
elongate	stretch
elongated	stretched
elongates	stretches
elongating	stretching
eminent	high
employment	work
employments	uses
encounter	meet
encountered	met
encountering	meeting
encounters	meets
endeavor	try
endeavored	tried
endeavoring	trying
endeavors	tries
endowment	gift
endowments	gifts
enjoin	order
enjoined	ordered
enjoining	ordering
enjoins	orders
enjoyable	fun
enmity	hate
enormous	large
enumerate	count
enumerated	counted
enumerates	counts
enumerating	counting
enumeration	count
enumerations	counts
epistle	letter
epistles	letters
equable	even
equine	horse
equine's	horse's
equines	horses
equitable	fair
erroneous	wrong
erroneously	wrongly
erudite	learned
establish	show
evidenced	showed
evidences	shows
evidencing	showing
evince	show
exceedingly	very
execute	kill
executed	killed
executes	kills
executing	killing
execution	killing
exhibit	show
exhibiting	showing
exhibition	show
exhibition's	show's
exhibitions	shows
exhibits	shows
exigency	need
exorbitant	large
expedite	hurry
expedited	hurried
expedites	hurries
expediting	hurrying
expeditious	fast
expeditiously	quickly
expend	spend
expending	spending
expends	spends
expiration	end
explain	show
explained	showed
explaining	showing
explains	shows
exterior	outside
exterminate	kill
exterminated	killed
exterminates	kills
exterminating	killing
extermination	killing
fabricate	build
fabricated	made
fabricates	builds
fabricating	building
facilitate	help
facilitates	helps
facilitating	helping
facilitation	help
famished	hungry
fatuous	silly
ferocious	fierce
ferociously	fiercely
fetch	get
fetched	got
fetches	gets
fetching	getting
final	last
finalisation	finish
finalisations	finishes
finalise	finish
finalised	finished
finalises	finishes
finalising	finishing
finalization	finish
finalizations	finishes
finalize	finish
finalized	finished
finalizes	finishes
finalizing	finishing
firmament	sky
firstly	first
fluctuations	waves
forfeited	lost
formulate	plan
formulated	planned
formulates	plans
formulating	planning
frequently	often
frivolous	silly
function	act
functions	acts
furnish	give
furnished	gave
furnishes	gives
furnishing	sending
gargantuan	giant
generate	make
generated	made
generates	makes
generating	making
genuine	real
genuinely	really
gloomy	sad
grandiose	large
gratified	pleased
gratifies	pleases
gratify	please
gratifying	pleasing
gratuities	gifts
gratuity	gift
habitation	house
habitations	houses
hence	so
herein	here
herewith	here
however	but
humongous	giant
identical	same
identified	named
identifies	names
identify	find
identifying	naming
ignoble	mean
illumination	light
illustrate	show
illustrated	showed
illustrates	shows
illustrating	showing
imbue	fill
imbued	filled
imbues	fills
imbuing	filling
imminent	near
impact	hit
impacted	hit
impacting	hitting
impacts	hits
impair	harm
impaired	harmed
impairing	harming
impairs	harms
impartial	fair
impecunious	poor
impinge	strike
impinged	hit
impinges	strikes
impinging	striking
implement	start
implemented	did
implementing	starting
implements	starts
impoverished	poor
inaccuracies	mistakes
inaccuracy	mistake
inaugurate	begin
inaugurates	begins
inception	start
inceptions	starts
incision	cut
incision's	cut's
incisions	cuts
incisive	cutting
inconvenience	bother
inconveniences	bothers
incorporate	join
incorporated	joined
incorporates	joins
incorporating	joining
indicate	show
indicates	shows
indicating	showing
indication	sign
indication's	sign's
indications	signs
indigent	poor
individual	person
individuals	people
indolent	lazy
indubitable	certain
inferno	fire
inferno's	fire's
infernos	fires
inform	tell
ingenuous	open
initial	first
initialisation	start
initialisations	starts
initialise	start
initialised	started
initialises	starts
initialising	starting
initialization	start
initializations	starts
initialize	start
initialized	started
initializes	starts
initializing	starting
initiate	start
initiated	started
initiates	starts
initiating	starting
inoperative	broken
inquire	ask
inquired	asked
inquires	asks
inquiring	asking
institution	company
intelligent	smart
intention	plan
intention's	plan's
intentions	plans
internal	inside
jocular	funny
jocund	happy
laceration	cut
lacerations	cuts
laggard	slow
laggardly	slowly
legitimate	real
lethargic	slow
lethargically	slowly
locate	find
located	found
locates	finds
locating	finding
location	place
location's	place's
locations	places
lucent	bright
lugubrious	sad
luminous	bright
mademoiselle	lady
mademoiselle's	lady's
mademoiselles	ladies
magnitude	size
maintain	keep
maintained	kept
maintaining	keeping
maintains	keeps
majority	most
manner	way
manufacture	make
manufactured	made
manufactures	makes
manufacturing	making
massive	large
maximum	most
mentality	mind
methodologies	plans
methodology	plan
methodology's	plan's
militate	fight
militates	fights
minimum	least
modification	change
modifications	changes
modified	changed
modifies	changes
modify	change
modifying	changing
monitor	watch
monitored	watched
monitoring	watching
monitors	watches
mordant	biting
motionless	still
mountainous	large
multiple	many
municipality	city
necessarily	needed
necessary	needed
necessitate	cause
necessitated	caused
necessitates	causes
necessitating	causing
necessity	need
nemesis	enemy
nemesis's	enemy's
notation	note
notations	notes
notification	notice
notifications	notices
notified	told
notifies	tells
notify	tell
notifying	telling
notwithstanding	though
numerate	count
numerated	counted
numerates	counts
numerating	counting
numerous	many
nutriment	food
observe	watch
observed	saw
observes	sees
observing	seeing
obstacle	problem
obstacle's	problem's
obstacles	problems
obstruct	block
obstructed	blocked
obstructing	blocking
obstruction	block
obstructions	blocks
obstructs	blocks
obtain	get
obtained	got
obtaining	getting
obtains	gets
occur	happen
occurred	happened
occurs	happens
ongoing	continuing
operate	run
operated	ran
operates	runs
operating	running
operational	working
opportunities	chances
opportunity	chance
optimum	best
option	way
options	ways
opulent	rich
ordinance	rule
ordinances	rules
organisation's	company's
organisations	companies
organization's	company's
organizations	companies
orifice	opening
orifices	openings
ostentation	show
ostentations	shows
palatable	pleasing
paramount	top
parlance	talk
parlances	talks
pendulous	hanging
penitent	sorry
perforation	hole
perforations	holes
perform	do
performs	does
permit	let
permitted	let
permitting	letting
personnel	people
personnel's	people's
persons	people
peruse	read
perused	read
peruses	reads
perusing	reading
physician	doctor
physician's	doctor's
physicians	doctors
plaintive	sad
plenary	full
plenteous	plenty
poignant	moving
portion	part
portion's	part's
portions	parts
position	place
position's	place's
positioned	placed
positioning	placing
positions	places
possess	have
possessed	had
possesses	has
possessing	owning
precept	rule
precepts	rules
precipitation	rain
predicament	problem
predicament's	problem's
predicaments	problems
predilection	liking
preeminent	top
preferable	better
preponderant	chief
presently	now
previously	before
primary	first
probabilities	chances
probability	chance
probability's	chance's
procedure	rule
procedure's	rule's
procedures	rules
proceed	do
proceeds	does
procure	get
produced	made
produces	makes
producing	making
proffer	offer
proffered	offered
proffering	offering
proffers	offers
profound	deep
progeny	children
program	plan
provide	give
puissance	might
punctilious	exact
purchase	buy
purchased	bought
purchases	buys
purchasing	buying
pursuit	chase
pusillanimous	frightened
quandaries	problems
quandary	problem
quandary's	problem's
quiescent	still
quiescently	quietly
radiant	bright
ramification	branch
ramifications	branches
rapid	quick
rapidly	quickly
reduce	cut
reduced	cut
reduces	cuts
reducing	cutting
reduction	cut
reduction's	cut's
reductions	cuts
reflect	say
regarding	about
regimen	rule
regulation	rule
regulations	rules
rejoinder	reply
relocate	move
relocated	moved
relocates	moves
relocating	moving
relocation	move
relocations	moves
remain	stay
remainder	rest
remainder's	rest's
remained	stayed
remaining	staying
remains	stays
remunerate	pay
remunerated	paid
remunerates	pays
remunerating	paying
remuneration	pay
remunerations	pays
represents	is
request	ask
requested	asked
requesting	asking
requests	asks
require	need
required	needed
requirement	need
requirements	needs
requires	needs
requiring	needing
requisite	needed
reside	live
residence	house
residences	houses
respond	answer
responsibilities	jobs
responsibility	job
retain	keep
retained	kept
retaining	keeping
retains	keeps
retention	keeping
reticent	silent
reversion	return
risible	funny
rubicund	red
saccharine	sweet
sagacious	wise
sagaciously	wisely
salient	important
sanitary	clean
satisfied	happy
saturate	fill
saturated	filled
saturates	fills
saturating	filling
secondly	second
segment	part
segments	parts
shortly	soon
similar	like
solicitous	eager
solitary	alone
speculate	guess
speculated	guessed
speculates	guesses
speculating	guessing
strategies	plans
strategy	plan
strategy's	plan's
stringent	tight
stringently	tightly
submit	give
submits	sends
submitted	sent
submitting	sending
subsequent	next
subsequently	after
substantial	real
substantially	really
subterfuge	trick
sufficient	enough
sumptuous	rich
superior	better
supplemental	added
surreptitious	secret
tabulation	table
tabulations	tables
tenuous	thin
terminate	end
terminated	ended
terminates	ends
terminating	ending
terminus	end
tertiary	third
thereafter	then
therefore	so
therein	there
thereof	its
therewith	with
thirdly	third
thoroughfare	road
thoroughfare's	road's
thoroughfares	roads
transmit	send
transmits	sends
transmitted	sent
transmitting	sending
transpiration	happening
transpire	happen
transpired	happened
transpires	happens
transpiring	happening
tributaries	rivers
tributary	river
tributary's	river's
typically	often
undulations	waves
upon	on
usually	often
utilisabilities	uses
utilisation	use
utilisations	uses
utilise	use
utilised	used
utilises	uses
utilising	using
utilizabilities	uses
utilization	use
utilizations	uses
utilize	use
utilized	used
utilizes	uses
utilizing	using
vacuous	empty
valorous	brave
valorously	bravely
value	worth
variation	change
variations	changes
vehement	eager
verbatim	exact
via	in
visualize	picture
visualized	saw
visualizes	pictures
visualizing	seeing
voluminous	large
whenever	when
whereas	because
whilst	while
witnessed	saw
