abatement	decrease
circumventing	getting around, avoiding
circumvents	gets around, avoids
clarified	made clear
clarifies	makes clear
clarify	make clear
clarifying	making clear
clemency	mercy
coagulate	thicken
coagulated	thickened
coagulates	thickens
coagulating	thickening
coalesce	grow together
coalesced	grew together
coalesces	grows together
coalescing	growing together
coalition	union
coalitions	unions
cogitate	ponder
cogitated	pondered
cogitates	ponders
cogitating	pondering
cognizant	aware
collaborate	work together
collaborated	worked together
collaborates	works together
collaborating	working together
collection	mass, heap
collections	masses, heaps
colossal	large
combine	join
combined	joined
combines	joins
combining	joining
comforted	soothed
comforting	soothing
comforts	soothes
commence	start, begin
commenced	started, began
commencement	start
commencements	starts
commences	starts, begins
commencing	starting, beginning
commendation	praise
commendations	praises
commerce	trade
commiseration	pity
commitment	pledge
commitments	pledges
commodious	roomy
communicate	tell
companion	friend, mate
companion's	friend's, mate's
companions	friends, mates
compassion	pity
compensate	pay
compensated	paid
compensates	pays
compensating	paying
compensation	pay
competent	able
complied	followed
complier	follower
complier's	follower's
compliers	followers
complies	follows
comply	follow
complying	following
component	part
component's	part's
components	parts
compose	make up, create
composed	made up, created, calm (adj.)
composes	makes up, creates
composing	making up, creating
composition	make-up
compress	sqeeze
compressed	sqeezed
compresses	sqeezes
compressing	sqeezing
comprise	form, include, make up
comprised	formed, included
comprises	forms, includes
comprising	forming, including
compunction	regret
compunctions	regrets
conceal	hide
concealment	hiding
conceited	cocky
conceive	think up, create
conceived	thought up, created
conceives	thinks up, creates
conceiving	thinking up, creating
concept	idea
conception	concept, thought
concerning	about, on
conciliate	win over, soothe
conciliated	won over, soothed
conciliates	wins over, soothes
conciliating	winning over, soothing
conclude	close, end
concluded	closed, ended
concludes	closes, ends
concluding	closing, ending
conclusion	close, end
conclusive	final
conclusively	finally
concur	agree
concurred	agreed
concurring	agreeing
concurs	agrees
concussion	shock
concussions	shocks
condescend	stoop down
condescended	stooped down
condescending	stooping down
condescends	stoops down
conformity	likeness
confront	meet, face
confrontation	meeting
confrontation's	meeting's
confrontations	meetings
confronted	face, met
confronting	facing, meeting
confronts	faces, meets
congeal	freeze
congealed	froze
congealing	freezing
congeals	freezes
congenital	inborn
congruous	fitting
conjecture	guess
conjectured	guessed
conjectures	guesses
conjecturing	guessing
connoisseur	expert
connoisseurs	experts
consanguinity	blood
conscious	aware
consequence	result
consequences	results
consequently	so
considerable	much
consolation	comfort
consolidate	join, unite, combine
consolidated	joined, united, combined
consolidates	joins, unites, combines
consolidating	joining combining, joining
consolidation	combination, merger
consolidation's	combination's, merger's
consolidations	combinations, mergers
consolidator	combination, merger
consolidators	combinations, mergers
constable	police
constable's	police's
constables	polices
constantly	always
consternation	dismay
constitute	be, form
constituted	was, formed
constitutes	makes up, forms
constituting	being, forming
constitution	form, make-up
construct	build
constructed	built
constructing	building
construction	building
construction's	building's
constructions	buildings
constructive	helpful
constructively	helpfully
constructor	builder
constructor's	builder's
constructors	builders
constructs	builds
consume	use up
consumed	used up
consumes	uses up
consuming	using up
contain	have, hold
contained	had, held
containing	having, holding
contains	has, holds
contaminate	taint
contaminated	tainted
contaminates	taints
contaminating	tainting
contemplate	think about
contemplated	thought about
contemplates	thinks about
contemplating	thinking about
contempt	scorn
contemptible	mean
contemptuous	scornful
contemptuously	scornfully
contiguity	nearness
contiguous	touching, near, next to
contingencies	emergencies, predicaments
contingency	emergency, likelihood, predicament
continue	keep, keep on
continued	kept on
continues	keeps on
continuing	keeping on
contort	twist, bend
contorted	twisted, bent
contorting	twisting, bending
contorts	twists, bends
contradict	deny, conflict
contradicted	denied, conflicted
contradicting	denying, conflicting
contradicts	denies, conflicts
contraption	machine
contraption's	machine's
contraptions	machines
contribute	give, help
contributed	gave, helped
contributes	gives, helps
contributing	giving, helping
contribution	gift
contribution's	gift's
contributions	gifts
contributively	givingly
contributor	giver
contributor's	giver's
contributors	givers
contusion	bruise
contusions	bruises
convene	meet
convenient	handy
conventionally	normally
conversation	talk
conversations	talks
conversion	change
conversions	changes
convolution	coil, fold, twist
convolutions	coils, folds, twists
cooperate	help
cooperated	helped
cooperates	helps
cooperating	helping
cooperative	helpful
cooperatively	helpfully
cooperator	helper
cooperator's	helper's
cooperators	helpers
copious	plenty
coquette	flirt
coquetted	flirted
coquettes	flirts
coquetting	flirting
corporeal	bodily
corpulent	fat
corroborate	confirm
corroborated	confirmed
corroborates	confirms
corroborating	confirming
corrugate	wrinkle, bend
corrugated	wrinkled, bent
corrugates	wrinkles, bends
corrugating	wrinkling, bending
corruption	decay, rot, immorality
counteract	hinder
counteracted	hindered
counteracting	hindering
counteracts	hinders
countermand	cancel, recall
countermanded	canceled, recalled
countermanding	canceling, recalling
countermands	cancels, recalls
cozen	cheat
cozens	cheats
create	make
created	made
creates	makes
creating	making
criteria	requirements
culinarian	cook
culinarian's	cook's
culinarians	cooks
cultivate	grow, till, raise, farm
cultivated	grew, tilled, raised, farmed
cultivates	grows, tills, raises, farms
cultivating	growing, tilling, raising, farming
currently	(omit), now
customary	usual, accepted
damsel	girl
damsel's	girl's
damsels	girls
debilitate	weaken
debilitated	weakened
debilitates	weakens
debilitating	weakening
decapitate	behead
decapitated	beheaded
decapitates	beheads
decapitating	beheading
decentralize	scatter, break apart
decentralized	scattered, broke apart
decentralizes	scatters, breaks apart
decentralizing	scattering, breaking apart
declination	downward slope
declinations	downward slopes
decrease	lower
deem	treat as, think
deemed	thought
deeming	thinking
deems	thinks
defer	put off
deficit	shortage
deficits	shortages
definitive	final
defunct	dead
delectable	pleasing
delete	cut, drop
deleted	cut, dropped
deletes	cuts, drops
deleting	cutting, dropping
deletion	cut
deletions	cuts, drops
deliberately	on purpose
demise	death
demonstrable	provable
demonstrate	show
demonstrated	showed
demonstrates	shows
demonstrating	showing
dense	thick
density	thickness
depart	leave
departed	left
departing	leaving
departs	leaves
deplete	empty
depleted	emptied, empty (adj.)
depletes	empties
depleting	emptying
depreciate	lessen
depreciated	lessened
depreciates	lessens
depreciating	lessening
descending	downward
designate	name
designated	appointed, chose/chosen, assigned
designates	appoints, chooses, assigns
designating	appointing, choosing, assigning
desire	wish
desired	wished
desires	wishes
desiring	wishing
desirously	wishfully
desirousness	wishfulness
desist	stop
detain	hold
determinable	decidable
determine	decide, figure, find
determined	decided, figured
determines	decides, figures
determining	deciding, figuring
detest	hate
detested	hated
detesting	hating
detests	hates
detrimental	harmful
develop	make, grow
developed	made, grown
developing	making, growing
develops	makes, grows
deviate	stray, turn away
deviated	strayed, turned away
deviates	strays, turns away
deviating	straying, turning away
deviation	change
deviations	changes
dichotomies	groups, branches, divisions
dichotomy	group, branch, division
dichotomy's	group's, branch's, division's
difficult	hard
difficulties	troubles
difficulty	trouble
dilatory	not prompt
diminish	lessen
diminution	lessening
diplomacy	tact
diplomatic	tactful
diplomatically	tactfully
disagreeable	cross
disarrange	disturb
disarranged	disturbed
disarranges	disturbs
disarranging	disturbing
disburse	pay out
disbursed	paid out
disburses	pays out
disbursing	paying out
discerning	keen
disclose	show
disclosed	shown
discloses	shows
disclosing	showing
disconnected	undone
discontented	uneasy
discontinuance	dropping, stop
discontinuances	droppings, stops
discontinuation	dropping, stop
discontinuations	droppings, stop
discontinue	stop
discontinued	dropped, stopped
discontinues	drops, stops
discontinuing	dropping, stopping
discordant	harsh
discover	find out
discovered	found out
discovering	finding out
discovers	finds out
discredit	doubt
discredited	doubted
discrediting	doubting
discredits	doubts
disembark	leave the ship, go ashore
disembarked	left the ship, went ashore
disembarking	leaving the ship, going ashore
disembarks	leaves the ship, goes ashore
disengage	free, release
disengaged	freed, released
disengages	frees, releases
disengaging	freeing, releasing
disentangle	free, release
disentangled	freed, released
disentangles	frees, releases
disentangling	freeing, releasing
disintegrate	break up
disintegrated	broke up
disintegrates	breaks up
disintegrating	breaking up
disinter	dig up
disinterred	dug up
disinterring	digging up
disinters	digs up
dismember	take apart
dismembered	took apart
dismembering	taking apart
dismembers	takes apart
dispatch	send
dispatched	sent
dispatches	sends
dispatching	sending
dispel	rid, drive away
dispelled	rid, drove away
dispelling	ridding, driving away
dispels	rids, drives away
dispense	give out
dispensed	gave out
dispenses	gives out
dispensing	giving out
disperse	scatter
dispersed	scattered
disperses	scatters
dispersing	scattering
dispossess	deprive
dispossessed	deprived
dispossesses	deprives
dispossessing	depriving
disregard	ignore
disregarded	ignored
disregarding	ignoring
disregards	ignores
disrespectful	rude
disrupt	interrupt, confuse
disrupted	interrupted, confused
disrupting	interrupting, confusing
disrupts	interrupts, confuses
disseminate	give, issue, pass, send
disseminated	scattered, spread out
disseminates	issues, sends out
disseminating	issuing, sending out
dissemination	issuance, sending out
disseminations	issuances
disseminator	issuer
disseminators	issuers
dissimilar	not alike, different
dissipate	scatter, waste, squander
dissipated	scattered, wasted, squandered
dissipates	scatters, wastes, squanders
dissipating	scattering, wasting, squandering
dissolute	evil
distend	stretch out
distended	stretched out
distending	stretching out
distends	stretches out
distinguish	tell apart
distinguished	told apart, dignified (adj.)
distinguishes	tells apart
distinguishing	telling apart
divest	strip off
divested	stripped off
divesting	stripping off
divests	strips off
divulge	tell
divulged	told
divulges	tells
divulging	telling
domesticate	tame
domesticated	tamed
domesticates	tames
domesticating	taming
domicile	home
domiciles	homes
domineer	rule over
domineered	ruled over
domineering	ruling over
domineers	rules over
donate	give
dormant	asleep
dubious	doubtful
duplicate	copy
duplicated	copied
duplicates	copies
duplicating	copying
duration	time
ebullient	bubbling up
eccentric	odd
echelon	level
echelon's	level's
echelons	levels
economical	thrifty
edification	benefit
edifice	building
edifices	buildings
educator	teacher
educator's	teacher's
educators	teachers
efface	rub out
effaced	rubbed out
effaces	rubs out
effacing	rubbing out
effected	made, changed
effecting	making, changing
effectuate	bring about
effervescent	bubbly, lively
effervescently	livelily
effusive	pouring out, gushing, overflowing
egotistical	cocky
egregious	flagrant, shockingly bad
egregiously	flagrantly
egress	emerge
egressed	emerged
egresses	emerges
egressing	emerging
elapse	pass
elect	choose, pick
elected	chose/chosen, picked
electing	choosing, picking
elects	chooses, picks
elevate	raise, lift up
elevated	rose, lifted up
elevates	raises, lifts up
elevating	raising, lifting up
elevation	height
elicit	draw out, call forth
elicited	drew out, called forth
eliciting	drawing out, calling forth
elicits	draws out, calls forth
eliminate	cut, drop, end
eliminated	cut, dropped
eliminates	cuts, drops
eliminating	cutting, dropping
elongate	stretch
elongated	stretched
elongates	stretches
elongating	stretching
elucidate	make clear
elucidated	made clear
elucidates	makes clear
elucidating	making clear
emanate	come from
emanated	came from
emanates	comes from
emanating	coming from
emancipate	free
emancipated	freed
emancipates	frees
emancipating	freeing
emasculate	weaken
emasculated	weakened
emasculates	weakens
emasculating	weakening
embellish	adorn, exaggerate
embellished	adorned, exaggerated
embellishes	adorns, exaggerates
embellishing	adorning, exaggerating
eminence	high place
eminent	high
eminently	highly
emolument	salary, fee
emoluments	salaries, fees
emphasize	stress
emphasized	stressed
emphasizes	stresses
emphasizing	stressing
employment	work, job, use
employments	uses
encounter	meet
encountered	met
encountering	meeting
encounters	meets
encourage	urge
encouraged	urged
encourages	urges
encouraging	urging
encumbrance	burden
encumbrances	burdens
endeavor	try, attempt
endeavored	tried, attempted
endeavoring	trying, attempting
endeavors	tries, attempts
endorsement	support
endorsements	supports
endowment	gift
endowments	gifts
enervate	weaken
enervated	weakened
enervates	weakens
enervating	weakening
engender	procreate, breed
engendered	procreated, bred
engendering	procreating, breeding
engenders	procreates, breeds
enigma	riddle
enigmas	riddles
enigmatic	puzzling
enigmatically	puzzlingly
enjoin	order
enjoined	ordered
enjoining	ordering
enjoins	orders
enjoyable	fun
enmity	hate
enormous	large, huge
ensure	make sure
ensured	made sure
ensures	makes sure
ensuring	making sure
entreat	beg
entreated	begged
entreating	begging
entreats	begs
enumerate	count
enumerated	counted
enumerates	counts
enumerating	counting
enumeration	count
enumerations	counts
enumerator	counter
enumerator's	counter's
enumerators	counters
epistle	letter
epistles	letters
equable	even
equably	evenly
equine	horse
equine's	horse's
equines	horses
equitable	fair
equitably	fairly
equivalent	equal
equivalently	equally
erratic	uncertain
erratically	uncertainly
erroneous	wrong
erroneously	wrongly
erudite	learned
establish	set up, prove, show
established	set up, proved
establishes	sets up, proves
establishing	setting up, proving
evaluate	check, rate
evaluated	checked, rated
evaluates	checks, rates
evaluating	checking, rating
evaluation	check, rating
evaluation's	check's, rating's
evaluations	checks, ratings
evaluator	checker, rater
evaluators	checkers, raters
evidenced	showed
evidences	shows
evidencing	showing
evident	clear
evidently	clearly
evince	show
exaltation	rapture
exaltations	raptures
examination	check
examination's	check's
examinations	checks
examine	check, look at
examined	checked, looked at
examines	checks, looks at
examining	checking, looking at
exceedingly	very
exchange	trade
exchanged	traded
exchanges	trades
exchanging	trading
exclude	leave out
execute	kill, do
executed	killed, did
executes	kills, does
executing	killing, doing
execution	killing
execution's	killing's
executions	killings
exhibit	show
exhibited	showed/shown
exhibiting	showing
exhibition	show
exhibition's	show's
exhibitions	shows
exhibits	shows
exigency	need
exorbitant	large, huge, much too high, too expensive
expedience	advisability
expedite	hurry, speed up, rush
expedited	hurried, rushed
expedites	hurries, rushes
expediting	hurrying, rushing
expeditious	fast, quick
expeditiously	quickly
expend	spend
expended	paid out, spent
expending	paying out, spending
expenditure	expense
expenditures	expenses
expends	pays out, spends
expense	cost, fee
expenses	costs, fees
expertise	ability
expiration	end
explain	show, tell
explained	showed, told
explaining	showing, telling
explains	shows, tells
explicit	clear
explicitly	clearly
expound	make clear
expounded	made clear
expounding	making clear
expounds	makes clear
expunge	wipe out, clear
expunged	wiped out, cleared
expunges	wipes out, clears
expunging	wiping out, clearing
extemporaneous	offhand
exterior	outside
exterminate	kill, destroy
exterminated	killed, destroyed
exterminates	kills, destroys
exterminating	killing, destroying
extermination	killing, destruction
extermination's	killing's, destruction's
exterminations	killings, destruction
external	outer
extricate	free, release, rescue
extricated	freed, released, rescued
extricates	frees, releases, rescues
extricating	freeing, releasing, rescuing
fabricate	build, make
fabricated	built, made
fabricates	builds, makes
fabricating	building, making
facilitate	help
facilitated	made easy
facilitates	eases, helps
facilitating	easing, helping
facilitation	help, helping
fallacies	errors, lies
fallacious	misleading
fallacy	error, lie
familiar	known
famished	hungry
fatuous	silly
feasible	can be done, workable
felicitous	apt
felicity	bliss
felonious	wicked, criminal
feloniously	wickedly, criminally
ferocious	fierce
ferociously	fiercely
fetch	get
fetched	got
fetches	gets
fetching	getting
fictitious	made-up
figurine	doll
figurine's	doll's
figurines	dolls
final	last
finalisation	completion, finish
finalisations	completions, finishes
finalise	finish, complete
finalised	finished, completed
finalises	finishes, completes
finalising	finishing, completing
finalization	completion, finish
finalizations	completions, finishes
finalize	complete, finish
finalized	finished, completed
finalizes	finishes, completes
finalizing	finishing, completing
firmament	sky
firstly	first
fluctuate	rise and fall
fluctuated	rose and fell
fluctuates	rises and falls
fluctuating	rising and falling
fluctuation	wavering
fluctuations	waves
forbearance	patience
forfeit	give up, lose
forfeited	gave up, lost
forfeiting	giving up, losing
forfeits	gives up, loses
forfeiture	giving up, loss
forfeitures	giving ups, losses
formulate	draw up, plan
formulated	drew up, planned
formulates	draws up, plans
formulating	drawing up, planning
frequently	often
frivolous	silly, absurd
frugality	thrift
function	act, role
functions	acts, roles
fundamental	basic
fundamentally	basically
fundamentals	basics
furnish	give, send
furnished	gave, sent
furnisher	giver
furnishers	givers
furnishes	gives, sends
furnishing	giving, sending
gargantuan	giant
general	broad
generally	broadly
generate	create, make
generated	created, made
generates	creates, makes
generating	creating, making
genuine	real, true
genuinely	really, truly
germinate	sprout
germinated	sprouted
germinates	sprouts
germinating	sprouting
gigantic	huge
gloomy	sad
glutinous	sticky, gluey
grandiose	large, huge
gratified	pleased
gratifies	pleases
gratify	please
gratifying	pleasing
gratuities	gifts, tips
gratuity	gift, tip
gravitate	move towards
gravitated	moved towards
gravitates	moves towards
gravitating	moving towards
habitation	house, home
habitations	houses, homes
hazardous	risky, unsafe
hazardously	unsafely
hence	so
herein	here
heretofore	until now
herewith	below, here
hesitate	pause
hesitated	paused
hesitates	pauses
hesitating	pausing
heterogeneous	varied
heterogeneously	variably
hitherto	until now
homogeneous	similar
homogeneously	similarly
horizontally	sideways
however	but
humongous	giant
identical	same
identicalness	sameness
identification	ID
identified	named, found
identifies	names, finds
identify	find, name, show
identifying	naming, finding
ignoble	base, common, dishonorable, mean
ignominious	shameful
ignominiously	shamefully
illumination	light
illustrate	draw, show
illustrated	drawn, showed
illustrates	draws, shows
illustrating	drawing, showing
imbue	fill
imbued	filled
imbues	fills
imbuing	filling
immaculate	pure, spotless
immediately	at once, now
immense	huge, vast
imminent	near
imminently	nearly
immovable	fixed, firm
immunization	booster, booster shot, vaccine
immunizations	boosters, booster shots, vaccines
impact	hit, change
impacted	hit, changed
